Quick Hash v2.6.3 (c) 2011-2015 - The easy and convenient way to hash data in both Linux, Apple Mac and Windows. Log generated: 11/27/2018 13:45:10
,"File Name",Path,"Hash Value","File Size (on Disk)",Duplicate?
1,20181127_sov.pdf,E:\REPORTS_RESULTS\20181127\,3975343BE803C511151A1F73156EE8ACD29683D39F87061B4DB19D32B5B0E6ED7364A7907A04BF1D13EB4452F94C94CC9AC2C340E1A98CA36476B892195EC838,"15496250 bytes (14.78 MiB)",
2,summary.pdf,E:\REPORTS_RESULTS\20181127\,0018EBEDCF03144EF76D36C0032D74E80653DD02E39A5E3DB2FE807B81059846858083A38F7D92755F526C0E5CF80FF8091D2AC5F14E7FCE4EF0832B7074F440,"37296 bytes (36.42 KiB)",
3,summary.txt,E:\REPORTS_RESULTS\20181127\,7AAD0877B2E0AF9D22E498F6AC1506BE8A146818C434E07D30FE558E60EC4EAD22D18989D9EAC264E7FD39D57FA48D841A6672FFD255FD51FE35E937C406BCF8,"16961 bytes (16.56 KiB)",
4,20181127_turnout.txt,E:\REPORTS_RESULTS\20181127\,768B26A4AAB018AC94DA43C7EEA2AE4B6D77AB6C8DCDE9DA56D4BBCF5149B9BFE54E6D4EEFE45AFB2832D848E16662269F39ED7DA943A74687E60DEB21FF5732,"31365 bytes (30.63 KiB)",
5,20181127_masterlookup.txt,E:\REPORTS_RESULTS\20181127\,345EE8DCE9F405286125633D85AB2B0FBD4EFF08E36F768ED7914D716F7850D8FEABF453242F2D5C19BBC61AA339A0A9907E9B4272EA436030CBF44C09E10229,"55420 bytes (54.12 KiB)",
6,20181127_neigh.xls,E:\REPORTS_RESULTS\20181127\,C0F9F490FCBA935AADED9A451F688AB6A7DFAF357D6D7F25B8D1100772F2E11CD289421A3C34DB760BD36D9B507A5D92354EBDFF5A1751B10BD3C2D8BB09811D,"16384 bytes (16 KiB)",
7,20181127_neigh.pdf,E:\REPORTS_RESULTS\20181127\,A157BD2E9E388173A2FB42CC5724608A742767FA3531B4CA0ECC71ECF481AD954F428387A37AA0989B544857F9841E34C6CCB57B07343A229CA3AEBFD1108790,"100768 bytes (98.41 KiB)",
8,20181127_sov.txt,E:\REPORTS_RESULTS\20181127\,99CE99E81F71066788C92231370D79E1C029EBF76578AEA20AE349557DA7B253D9D80981AE299762B12E8A1C09F5A38AE6F754A2E16A13EFE745FE9D52FE0B65,"50013348 bytes (47.7 MiB)",
9,20181127_sov.xlsx,E:\REPORTS_RESULTS\20181127\,FFEB0884790EF732B980AD94D9E62267AE7B6CA773FD62CF9B1448C9352C5DE3B51BE5E778D1AE2039B9DEE6D91CB1390D9A62A9AB1474076766966680DA810E,"2740158 bytes (2.61 MiB)",
10,20181127_sov.tsv,E:\REPORTS_RESULTS\20181127\,2FB601C74451E0A0DB4CD81FE90E05BF279C076B467BC9913E425F3573431756AAF6AD813DB4E5170FDF2F803E082F3F18864579F6D0A18425611A14E29DF68A,"2980663 bytes (2.84 MiB)",
